Course Title,Course code/ Route code,Highly skilled work marker,Industry sector - main,Location of employment (region),Work - Standard occupational classification 2020
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,"Arts admin;  Libraries, Museums and Heritage",London,Sports and leisure assistants
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,"Charities, NGOs and international development",London,Receptionists
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,"Charities, NGOs and international development",Not known,Catering and bar managers
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,Health and Social Care,South East,Nursing auxiliaries and assistants
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,"Hospitality, Leisure and Tourism",London,Other administrative occupations n.e.c.
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,"Hospitality, Leisure and Tourism",London,Personal assistants and other secretaries
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,"Hospitality, Leisure and Tourism",London,Receptionists
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,"Hospitality, Leisure and Tourism",London,Sports and leisure assistants
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,"IT, Technology & Telecomms",London,Records clerks and assistants
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,Law,London,Legal secretaries
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,Manufacturing,East of England,Other administrative occupations n.e.c.
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,Manufacturing,Not known,Furniture makers and other craft woodworkers
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,Media,London,Educational support assistants
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,Media,London,Other administrative occupations n.e.c.
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,Policy and Government,London,"Book-keepers, payroll managers and wages clerks"
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,Policy and Government,London,National government administrative occupations
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,Retail and Wholesale activities,London,Other administrative occupations n.e.c.
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,Teaching or other educational activities,London,Educational support assistants
BA History,UBAHISSING05/UBAHISSING05,Not applicable,,London,Insufficient information to code
BA History,UBAHISSING05/UBAHISSING05,Not applicable,,Not known,Insufficient information to code
BA History,UBAHISSING05/UBAHISSING05,Not applicable,Unknown,Not known,
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Academic Research and HE,London,Conference and exhibition managers and organisers
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Academic Research and HE,London,Welfare and housing associate professionals n.e.c.
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Academic Research and HE,Other European Union,Higher education teaching professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Accountancy & Financial Services,East of England,Brokers
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Accountancy & Financial Services,London,Business and related research professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Accountancy & Financial Services,London,Business associate professionals n.e.c.
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Accountancy & Financial Services,London,Chartered and certified accountants
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Accountancy & Financial Services,London,Finance and investment analysts and advisers
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Accountancy & Financial Services,London,Financial accounts managers
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Accountancy & Financial Services,London,Insurance underwriters
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Accountancy & Financial Services,London,Marketing associate professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Accountancy & Financial Services,London,Taxation experts
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Accountancy & Financial Services,Not known,Insurance underwriters
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Accountancy & Financial Services,South East,Business and related research professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Banking and investment,London,Business and related research professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Banking and investment,London,Business associate professionals n.e.c.
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Banking and investment,London,Data analysts
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Banking and investment,London,Finance and investment analysts and advisers
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Banking and investment,London,Financial accounts managers
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Banking and investment,South West,Protective service associate professionals n.e.c.
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"Charities, NGOs and international development",London,Conference and exhibition managers and organisers
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"Charities, NGOs and international development",London,Public relations professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"Charities, NGOs and international development",West Midlands,Welfare and housing associate professionals n.e.c.
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"Construction, Built Environment, Property",London,Engineering professionals n.e.c.
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"Construction, Built Environment, Property",London,Hotel and accommodation managers and proprietors
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"Construction, Built Environment, Property",Other European Union,Estate agents and auctioneers
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"Construction, Built Environment, Property",South East,Estate agents and auctioneers
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Consultancy,London,Business and related research professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Consultancy,London,Management consultants and business analysts
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Consultancy,Middle East,Finance and investment analysts and advisers
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Consultancy,Other Europe,Business and related research professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Consultancy,South West,Management consultants and business analysts
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Health and Social Care,England region unknown,Project support officers
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Health and Social Care,London,Business and financial project management professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Health and Social Care,London,Human resource managers and directors
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Health and Social Care,London,Marketing associate professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Health and Social Care,North America,Business and financial project management professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Health and Social Care,North West,Marketing associate professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Health and Social Care,South East,Human resource managers and directors
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Human Resources and Recruitment,London,Primary education teaching professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"IT, Technology & Telecomms",East of England,Programmers and software development professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"IT, Technology & Telecomms",London,Business sales executives
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"IT, Technology & Telecomms",London,Information technology professionals n.e.c.
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"IT, Technology & Telecomms",London,"IT business analysts, architects and systems designers"
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Law,East of England,Legal associate professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Law,"Guernsey, Jersey and the Isle of Man",Legal professionals n.e.c.
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Law,London,Legal professionals n.e.c.
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Law,London,Public services associate professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Manufacturing,South East,Public relations professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Media,East of England,"Arts officers, producers and directors"
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Media,East of England,Human resources and industrial relations officers
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Media,London,Business associate professionals n.e.c.
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Media,London,Human resources and industrial relations officers
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Media,Not known,Newspaper and periodical journalists and reporters
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"Other professional, scientific and technical activities",England region unknown,Legal professionals n.e.c.
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"Other professional, scientific and technical activities",London,Data analysts
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"Other professional, scientific and technical activities",North West,Data analysts
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Performance and Creative Arts,London,"Authors, writers and translators"
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Performance and Creative Arts,London,Musicians
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Performance and Creative Arts,London,Teaching professionals n.e.c.
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Performance and Creative Arts,Not known,"Authors, writers and translators"
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Policy and Government,London,"Business, research and administrative professionals n.e.c."
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Policy and Government,London,Chartered and certified accountants
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Policy and Government,London,Chief executives and senior officials
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Policy and Government,London,Project support officers
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Policy and Government,London,Public relations professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Policy and Government,London,Public services associate professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"PR, Advertising, Marketing",London,Business and financial project management professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"PR, Advertising, Marketing",London,Public relations professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"PR, Advertising, Marketing",Yorkshire and The Humber,Public relations professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"Publishing, Journalism, or Translation",East of England,Newspaper and periodical editors
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"Publishing, Journalism, or Translation",London,Business and related research professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"Publishing, Journalism, or Translation",London,Environment professionals
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"Publishing, Journalism, or Translation",London,Newspaper and periodical journalists and reporters
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"Publishing, Journalism, or Translation",Not known,Newspaper and periodical editors
BA History,UBAHISSING18/UBAHISSING18,High-skilled,"Publishing, Journalism, or Translation",Not known,Newspaper and periodical journalists and reporters
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Retail and Wholesale activities,East of England,Finance and investment analysts and advisers
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Retail and Wholesale activities,London,Business sales executives
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Retail and Wholesale activities,London,Managers and directors in the creative industries
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Retail and Wholesale activities,Not known,Managers and directors in the creative industries
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Social or Market Research,London,Business sales executives
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Teaching or other educational activities,Asia,Teachers of English as a foreign language
BA History,UBAHISSING18/UBAHISSING18,High-skilled,Teaching or other educational activities,London,"Authors, writers and translators"
